שיפנה-באמצע-תחזרו | Total Score:6972 | Smallest Score: 2303
למנזר-השיגו-אבטחת | Total Score:441 | Smallest Score: 147
בלשכת-נדחקו-מיסטר | Total Score:276 | Smallest Score: 92
בטקסי-חצרות-שמעלה | Total Score:252 | Smallest Score: 84
נכבדה-חושפת-לארצם | Total Score:186 | Smallest Score: 62
מפציץ-שנובע-לזכרה | Total Score:174 | Smallest Score: 58
מהחדר-פלנקס-שעוצב | Total Score:147 | Smallest Score: 49
אינטש-לגבעה-דמותם | Total Score:141 | Smallest Score: 47
תיחשב-פאולר-המסכן | Total Score:102 | Smallest Score: 34
הסבתא-שנגיע-לרחוץ | Total Score:96 | Smallest Score: 32
הכעיס-מתפשר-נבדוק | Total Score:87 | Smallest Score: 29
פטריס-השגחת-נובאק | Total Score:75 | Smallest Score: 25
פטריס-השגחת-אמונם | Total Score:75 | Smallest Score: 25
מכספם-וילנא-שדחתה | Total Score:69 | Smallest Score: 23
מכספם-שדחתה-ברגלי | Total Score:69 | Smallest Score: 23
למצוץ-בפטיש-נעדרה | Total Score:66 | Smallest Score: 22
שהזכר-נבלעת-מחטיא | Total Score:54 | Smallest Score: 18
שחזרת-בסיגט-עדנאן | Total Score:45 | Smallest Score: 15
מלחות-שנכרה-אעדיף | Total Score:36 | Smallest Score: 12
שנכרה-אעדיף-בסמטת | Total Score:36 | Smallest Score: 12
מתרצה-קלזאן-שכספי | Total Score:27 | Smallest Score: 9
מפגיש-הסתכן-לטראק | Total Score:27 | Smallest Score: 9
מוספת-בלידר-שקאנט | Total Score:27 | Smallest Score: 9
כמניע-ולרשת-בצדקה | Total Score:27 | Smallest Score: 9
לעביר-הנקדן-מתחכם | Total Score:24 | Smallest Score: 8
לטרשת-נחסכו-הקאמי | Total Score:24 | Smallest Score: 8
חציבת-מלספק-וכנען | Total Score:21 | Smallest Score: 7
מאלדן-בהרפס-גושית | Total Score:21 | Smallest Score: 7
שעלפי-מודחק-באזנה | Total Score:21 | Smallest Score: 7
כדרגה-מסתנן-ובאזל | Total Score:21 | Smallest Score: 7
תעקוב-לשפרה-כמגיד | Total Score:18 | Smallest Score: 6
לכפרם-באגני-שעסוק | Total Score:18 | Smallest Score: 6
כקיטש-בנפחו-להעצר | Total Score:18 | Smallest Score: 6
טנאקה-כילדת-משחור | Total Score:15 | Smallest Score: 5
יקפצו-הנחבא-למדרג | Total Score:15 | Smallest Score: 5
סוגדת-המזרע-שצלאח | Total Score:15 | Smallest Score: 5
